,category,headline,date
56,CRIME,2 Florida Deputies Shot Dead While Eating At Chinese Restaurant,2018-04-20
57,CRIME,Coroner Reclassifies A Man's Suspicious Death After HuffPost Investigates,2018-04-20
58,CRIME,'Smallville' Actress Allison Mack Is Charged With Sex Trafficking,2018-04-20
59,CRIME,Don't Count On 'Me Too' To Sway The Bill Cosby Jury,2018-04-18
60,CRIME,Someone Tied A Hedgehog To A Tree With A 'Makeshift Crucifix' Of Shoelaces,2018-04-18
61,CRIME,"Unarmed Black Man Killed In 'Mind-Boggling,' Unjustified Barrage Of Police Gunfire: Lawyer",2018-04-18
62,CRIME,Bungling Robbery Suspects Receive Much-Deserved Dose Of Karma,2018-04-17
63,CRIME,Chicago Shootings Spike Amid Weekend Violence,2018-04-17
64,CRIME,Woman Burned To Death Can Testify From The Grave,2018-04-17
65,CRIME,Police Release Body Cam Video Of YouTube Shooter Nasim Aghdam,2018-04-14
66,CRIME,Judge Denies Bill Cosby's Request For A Mistrial After Accuser Has Outburst In Court,2018-04-12
67,CRIME,"Feds Investigate After Woman Tells HuffPost She Helped Drug, Rob Up To 100 Men: Attorney",2018-04-11
68,CRIME,Los Angeles Thieves Steal Second Ambulance In A Week,2018-04-09
69,CRIME,Topless Protester Arrested Outside Bill Cosby Retrial,2018-04-09
70,CRIME,Backpage.com Founders Indicted For Facilitating Prostitution On Site,2018-04-09
71,CRIME,Vatican Arrests Its Own Diplomat After Child Pornography Probe,2018-04-08
72,CRIME,Here's What To Know About The Bill Cosby Sexual Assault Retrial,2018-04-06
73,CRIME,"NYPD Releases 911 Transcripts, Footage Of Saheed Vassell's Final Moments",2018-04-06
74,CRIME,New York Police Fatally Shoot Unarmed Black Man On Brooklyn Street,2018-04-05
75,CRIME,YouTube’s Neighbors Send Stirring Message Of Support After Shooting,2018-04-04
76,CRIME,"If You’re On The Internet Talking About A Shooting, Remember These Things",2018-04-04
77,CRIME,"YouTube Shooter Was 'Upset' With Company, Police Say",2018-04-03
78,CRIME,Designer Of Waterslide That Decapitated 10-Year-Old Boy Seized On Murder Charge,2018-04-03
79,CRIME,'Affluenza Teen' Ethan Couch Released From Jail After 2-Year Sentence,2018-04-02
80,CRIME,"Family's Fatal Cliff Car Crash Likely Was Intentional, Police Say",2018-04-02
81,CRIME,Cosby Judge Refuses To Recuse Himself Over His Wife's Work With Abuse Victims,2018-03-30
82,CRIME,Parkland High School Shooter Nikolas Cruz Has Been Receiving Tons Of Fan Mail In Prison,2018-03-30
83,CRIME,Pulse Nightclub Shooter’s Widow Found Not Guilty Of Aiding Her Husband’s Attack,2018-03-30
84,CRIME,Court Rules Adnan Syed Of 'Serial' Podcast Has The Right To A New Trial,2018-03-29
85,CRIME,How Noor Salman Became The Scapegoat Of The Pulse Massacre,2018-03-28
86,CRIME,"Suspect Reportedly Arrested Over Explosives Sent To Washington, D.C. Area",2018-03-27
87,CRIME,Larry Nassar's Longtime MSU Boss Arrested On Sexual Misconduct Charges,2018-03-27
88,CRIME,Pulse Nightclub Shooter's Father Revealed As Former FBI Informant,2018-03-26
89,CRIME,Two Women Who Broadcast Islamophobic Mosque Visit With Children Are Indicted,2018-03-26
90,CRIME,"Parents Threw Hot Oil On Teen For Refusing Forced Marriage, Cops Say",2018-03-26
91,CRIME,U.S. Charges Iranians For Global Cyber Attacks,2018-03-23
92,CRIME,Police Struggle To Find Possible Motives For Austin Bombings,2018-03-22
93,CRIME,'Incendiary Device' In Austin Injures Worker. Police Not Linking It To Package Bombs.,2018-03-21
94,CRIME,Suspected Austin Bomber Dead In Confrontation With Police,2018-03-21
95,CRIME,Police Find Recorded 'Confession' On Austin Bomber's Cellphone,2018-03-21
96,CRIME,Texas Bomb Suspect's Family 'Devastated And Broken',2018-03-21
97,CRIME,"Explosion At FedEx Facility Outside San Antonio May Be Linked To Austin Bombings, FBI Says",2018-03-20
98,CRIME,Officer Charged With Murder In Shooting Death Of Justine Damond,2018-03-20
99,CRIME,Police Suspect 'Serial Bomber' In Deadly Austin Attacks,2018-03-19
100,CRIME,World's Dumbest Shoplifters Literally Run Into The Police At Costco,2018-03-19
101,CRIME,PSA: Don't Be A Jerk. Clean The Snow Off Your Damn Car Already.,2018-03-15
102,CRIME,Video Shows Parkland Deputy Never Entered School As Mass Shooting Happened Inside,2018-03-15
103,CRIME,Dylann Roof's Sister Accused Of Having Weapons At School During National Walkouts,2018-03-15
104,CRIME,2 Women Who Took Children To Vandalize An Arizona Mosque Are Arrested,2018-03-15
105,CRIME,Jury To Weigh If Pulse Shooter’s Widow Is A Monster Or Just Married One,2018-03-14
106,CRIME,Accused Casino Robber Tried To Disguise Himself With Blackface,2018-03-14
107,CRIME,Prosecutors Will Seek Death Penalty In Parkland School Shooting,2018-03-13
108,CRIME,Another Gun Just Went Off In A School,2018-03-13
109,CRIME,Her Husband Killed 49 People In Orlando. Now She's On Trial For Terrorism.,2018-03-12
110,CRIME,4 Dead As Hostage Standoff Ends At California Veterans Home,2018-03-10
111,CRIME,Parkland Deputy Who Didn't Engage School Shooter Told Other Officers To Stay Away,2018-03-09
112,CRIME,4 Dead As Hostage Standoff Ends At California Veterans Home,2018-03-09
113,CRIME,911 Calls From Parkland Shooting Reveal Terror Of Parents Desperate For Answers,2018-03-08
114,CRIME,Student Killed In Accidental Shooting At Alabama School: Report,2018-03-08
115,CRIME,Man Pleads Guilty To Murder Of Indian Man After Yelling 'Get Out Of My Country',2018-03-07
116,CRIME,Parkland School Shooter Indicted On 17 Counts Of Murder,2018-03-07
117,CRIME,Fyre Festival Founder Faces Prison After Pleading Guilty To Wire Fraud,2018-03-07
118,CRIME,Sexual Assault Claim Against Mark Cuban Resurfaces After 7 Years,2018-03-07
119,CRIME,"Men Are Impersonating Police To Sexually Exploit Women, And We're Not Paying Enough Attention",2018-03-06
120,CRIME,Couple Face Cruelty Charges For Living In Plywood Box With Children,2018-03-02
121,CRIME,19-Year-Old Arrested After Parents Found Shot Dead At Central Michigan University,2018-03-02
122,CRIME,Nobody Knows Exactly How Many People Are Getting Killed With Assault-Style Rifles,2018-03-02
123,CRIME,Intruder Scare In Sean Hannity's Home Leads To Arrest,2018-03-01
124,CRIME,Woman Accused Of Poisoning Friend With Cheesecake In Identity Theft Plot,2018-03-01
125,CRIME,Parkland Shooter's Rifle Magazines Were Etched With Swastikas: Reports,2018-02-28
126,CRIME,North Carolina Man Broadcasts His Own Killing On Facebook Live,2018-02-27
127,CRIME,Neo-Nazi Chat Logs Reveal Chilling Praise For Slaying Of Gay Jewish Student,2018-02-26
128,CRIME,"Texas, Alabama Halt Executions; Florida Puts Convicted Rapist And Killer To Death",2018-02-23
129,CRIME,Why Schools Are Flooded With Threats After Mass Shootings,2018-02-23
130,CRIME,Armed Officer Assigned To Stoneman Douglas Resigns Amid Shooting Investigation,2018-02-22
131,CRIME,Florida Shooter's Former Friend Says She Reported Him To School 'Multiple' Times,2018-02-20
132,CRIME,Couple Who Took In Florida Shooter: 'This Isn’t The Person We Knew',2018-02-19
133,CRIME,Siblings From Parkland High School Write Essays To Say 'Never Again',2018-02-19
134,CRIME,Report: 2 Baylor Football Players Investigated After Sexual Assault Accusations,2018-02-18
135,CRIME,Parkland Could've Been Worse. Vegas Could've Been Worse. They Can Always Be Worse.,2018-02-17
136,CRIME,"At Vigil For Florida School Shooting Victims, Students Chant 'No More Guns!'",2018-02-16
137,CRIME,Officials Haven't Found Evidence Linking Florida Shooting Suspect To White Supremacists (UPDATE),2018-02-15
138,CRIME,ICE Lawyer Charged With Trying To Defraud Immigrants By Stealing Their Identities,2018-02-14
139,CRIME,Three Milwaukee County Jail Staff Members Charged For Inmate's Dehydration Death,2018-02-12
140,CRIME,Two Ohio Police Officers Fatally Shot While Responding To 911 Call,2018-02-11
141,CRIME,These Bloody Dollhouse Scenes Reveal A Secret Truth About American Crime,2018-02-02
142,CRIME,Second Girl Sentenced For ‘Slender Man’ Stabbing,2018-02-02
143,CRIME,Father Of 3 Girls Abused By Larry Nassar Tries To Attack Him In Court,2018-02-02
144,CRIME,Nassar's Defense Attorney Says 265 Survivors 'Just Feel Like' They Were Abused,2018-02-01
145,CRIME,Ex-Cop Says Baltimore Police Carried BB Guns To Hide Dirty Shootings,2018-02-01
146,CRIME,"Package Thief Gets A Painful Dose Of Instant Karma, And It's All Caught On Video",2018-01-30
147,CRIME,4 Killed In Shooting Rampage At Pennsylvania Car Wash,2018-01-28
148,CRIME,Family Of Woman Missing For 12 Years 'Fed Up' With Florida Cops,2018-01-27
149,CRIME,Man Claims He's Infamous Alcatraz Escapee In Newly Surfaced Letter,2018-01-25
150,CRIME,Baltimore Cop Accused Of Planting Drugs In Body Cam Video Indicted,2018-01-25
151,CRIME,There’s A Line Between Justice And Vengeance. Larry Nassar’s Judge Crossed It.,2018-01-25
152,CRIME,U.S. Schools Have Already Faced 10 Shooting Incidents This Year,2018-01-24
153,CRIME,Man Arrested Over Threats To CNN:  'Fake News. I'm Coming To Gun You All Down.',2018-01-23
154,CRIME,"Study Finds More Than 9,000 Brothels Masquerading As Legit Businesses",2018-01-23
155,CRIME,Doughnut-Eating Champ Arrested In Doughnut Shop Break-In,2018-01-22
156,CRIME,15-Year-Old Airlifted To Dallas Hospital After High School Shooting,2018-01-22
157,CRIME,SFPD Says It Wants To Protect Sex Workers; Still Employs Cop Accused Of Statutorily Raping One,2018-01-22
158,CRIME,Aunt Of 13 Siblings Locked In California Home Says The Dad Used To Watch Her Take Showers,2018-01-17
159,CRIME,Police Investigate Whether Killing Of Student Blaze Bernstein Was A 'Hate Crime',2018-01-17
160,CRIME,How 2 California Parents Could 'Home-School' Their Shackled And Abused Children,2018-01-16
161,CRIME,Suspect In Murder Of Student Blaze Bernstein Claims He Was Hitting On Him: Report,2018-01-16
162,CRIME,"13 Siblings 'Held Captive' By Parents, Some In Chains And Starving, Police Say",2018-01-16
163,CRIME,Texas Man Charged With Capital Murder In Adopted Daughter's Death,2018-01-14
164,CRIME,Californian Confesses To Cold Case Slaying In Emotional TV Interview,2018-01-13
165,CRIME,"Couple Ordered To Pay Enslaved Nanny $121,000 After 2 Years Of Work",2018-01-07
166,CRIME,"Staff Interacted Several Times With Vegas Mass Shooter, Hotel Says",2018-01-06
167,CRIME,White Supremacist Charged With Terrorism After Alleged Attempt To Derail Train,2018-01-06
168,CRIME,FBI Reportedly Investigating Clinton Foundation,2018-01-05
169,CRIME,Gunfire Outside Colorado State Capitol Forces Brief Lockdown,2018-01-04
170,CRIME,Less Than 1 Ounce Of Marijuana Leads To Arrests Of More Than 60 Georgia Partygoers,2018-01-03
171,CRIME,Missing Daughters Of Slain Texas Woman Found Safe (UPDATE),2018-01-02
172,CRIME,"Police Arrest 16-Year-Old Boy Suspected Of Killing Parents, Sister On New Year's Eve",2018-01-01
173,CRIME,2018 Is Already Off To A Violent Start,2018-01-01
174,CRIME,Alleged 'Nigerian Prince' Email Scammer Arrested In Louisiana,2017-12-30
175,CRIME,FBI Affidavit Details Ex-Sheriff David Clarke's Intimidation Of Fellow Passenger,2017-12-30
176,CRIME,"2 Dead, 1 Injured In Shooting At California Law Firm",2017-12-30
177,CRIME,"Man Rigged Front Door To Try To Electrocute His Pregnant Wife, Police Say",2017-12-29
178,CRIME,NYPD Officers Suspended After Witnesses Say They Didn't Check On Woman Later Found Dead,2017-12-29
179,CRIME,Martin Shkreli's Former Lawyer Convicted Of Helping Him To Defraud Pharmaceutical Firm,2017-12-28
180,CRIME,Crimes That Dominated Headlines In 2017,2017-12-27
181,CRIME,"Children, Same-Sex Couple Identified In 'Horrific' Upstate New York Quadruple Homicide",2017-12-26
182,CRIME,'Neo-Nazi' Teen Charged With Killing Girlfriend's Parents After They Reported Him,2017-12-24
183,CRIME,Deputies Fatally Shoot 6-Year-Old In His Home While Firing At Suspect,2017-12-23
184,CRIME,California Authorities Launch Manhunt After Series Of Random Shootings Targeting Drivers,2017-12-22
185,CRIME,Teen Gets 25 Years In Mental Health Facility For 'Slender Man' Stabbing,2017-12-21
186,CRIME,Veterinarian Accused Of Shooting Neighbors' Dog In The Head,2017-12-20
187,CRIME,Man Arrested After 5-Year-Old Son Fatally Shoots Himself With Gun Left In Glove Box,2017-12-20
188,CRIME,"Canadian Pharmaceutical Billionaire, Wife Found Dead In Toronto",2017-12-16
189,CRIME,Human Foot Washed Ashore In Canada Is 13th Found Since 2007,2017-12-15
190,CRIME,No Jail Time For Fertility Doctor Who Used His Sperm To Impregnate Patients,2017-12-15
191,CRIME,The U.S. Is Number One -- In Weapons Sales,2017-12-14
192,CRIME,'It Was An Execution': Wife Of Man Killed By Arizona Cop Speaks Out,2017-12-13
193,CRIME,Police Arrest Naked Man Who Jumped Onto Moving Truck Near Dulles Airport,2017-12-13
194,CRIME,Man Arguing With Girlfriend Threw Good Samaritan Off Bridge: Police,2017-12-12
195,CRIME,Alleged Airplane Smoker Threatens To 'Kill Everybody On This F**king Plane',2017-12-12
196,CRIME,Police Confirm Another Freeway Shooting In Michigan,2017-12-11
197,CRIME,"New York Bomber Sought An ISIS-Inspired Attack With Failed Device, Investigators Say",2017-12-11
198,CRIME,Landlord Accused Of Masturbating On Tenant's Clothes When She Wasn't Home,2017-12-11
199,CRIME,Appeals Court Denies New Trial For 'Making A Murderer' Subject Brendan Dassey,2017-12-09
200,CRIME,Protect Older Persons From Molesters,2017-12-09
201,CRIME,Former Priest Convicted In Decades-Old Beauty Queen Slaying,2017-12-08
202,CRIME,Pregnant Mother Of Twins Vanishes While Running Errands In New York,2017-12-07
203,CRIME,18-Year-Old Confesses To Molesting 'Upwards Of 50 Children' In California: Police,2017-12-04
204,CRIME,Teen Suspect Sought In Disturbing Cat-Throwing Video,2017-12-04
205,CRIME,Bodies Of Missing California Veteran And Dog Believed Found; Ex-Husband Under Arrest,2017-12-03
206,CRIME,Man Charged In Disappearance Of North Carolina Toddler,2017-12-02
207,CRIME,Retirement Community Resident Allegedly Tested Homemade Poison On Neighbors,2017-12-02
208,CRIME,Video Shows Man Who Sexually Assaulted 4-Year-Old Get Attacked By Inmate,2017-12-02
209,CRIME,"3-Year-Old Girl Disappears In North Carolina, Sparking FBI Search",2017-11-29
210,CRIME,Tampa Police Arrest Suspect Amid Serial Killer Fears,2017-11-29
211,CRIME,"Suspect Is Killed After Shots Fired In Reno, Nevada",2017-11-29
212,CRIME,"Amid Attacks, Teachers Weigh Their Safety Against Student Privacy",2017-11-28
213,CRIME,Air Force Failed To Report Dozens Of Convictions To Background Check System,2017-11-28
214,CRIME,'Glee' Star Naya Rivera Charged With Domestic Battery,2017-11-27
215,CRIME,"Naked Drunk Driver Crashes Car While Having Sex At The Wheel, Police Say",2017-11-25
216,CRIME,Hunter Fatally Shoots Woman He Mistook For A Deer On Thanksgiving Eve,2017-11-24
217,CRIME,Drug Dealer Who Sold Teen Lethal Amount Of Fentanyl Ordered To Pay For His Funeral,2017-11-24
218,CRIME,"Suspected MS-13 Gang Member Arrested In Park Stabbing, Dismembering: Cops",2017-11-23
219,CRIME,Baltimore Detective Killed A Day Before Testifying In Federal Case Against Fellow Cops,2017-11-23
220,CRIME,Ohio Man Threatened Historical Mass Shooting At Las Vegas Casino,2017-11-20
221,CRIME,Native American Child Gunned Down By Ashland County Sheriff Deputy Brock Mrdjenovich: #JusticeForJason,2017-11-17
222,CRIME,"Charles Manson Reportedly Hospitalized, In Deteriorating Condition",2017-11-16
223,CRIME,Sylvester Stallone Denies Sexually Assaulting 16-Year-Old Fan In The '80s,2017-11-16
224,CRIME,California Shooter Killed Wife The Night Before Attacking Elementary School,2017-11-15
225,CRIME,Texas State University Halts Greek Life After Fraternity Pledge Dies,2017-11-15
226,CRIME,When A Shooting Threat Was Made At My Child's School,2017-11-15
227,CRIME,'Psychopathic Predator' Caught On Mainland After Escaping From Hawaii Mental Hospital,2017-11-15
228,CRIME,Ohio Death Row Inmate Receives Pillow To Help Him Breathe During Execution,2017-11-14
229,CRIME,Mexico Deports American Polygamist Suspected In 3 Killings,2017-11-13
230,CRIME,"Foul-Mouthed State Prosecutor Berates, Threatens Uber Driver",2017-11-13
231,CRIME,Oklahoma Woman Who Married Her Mother Pleads Guilty To Incest,2017-11-11
232,CRIME,eBay Pulls Offensive Coffee Mug Showing Skeletal Madeleine McCann,2017-11-10
233,CRIME,"After Texas Shooting, A Grieving Mother Reads Her Daughter's Last Words",2017-11-10
234,CRIME,"Filipina Model Says Woman Punched Her In Garage, Called Her ‘Chinky Eyes’",2017-11-10
235,CRIME,"Texas Church Shooter Claimed He Used Dogs As Target Practice, Says Former Colleague",2017-11-10
236,CRIME,"We Made Cribs Safer For Our Babies, Now What About Guns?",2017-11-09
237,CRIME,'Kayak Killer' Gets Up To 4 Years In Prison For Fiancé's Death,2017-11-09
238,CRIME,Trooper Sues After Being Forced To Alter Arrest Report Of Judge's Daughter,2017-11-08
239,CRIME,6 Ways To Grieve And Cope After A Mass Shooting,2017-11-08
240,CRIME,US Polygamist Busted In Mexico Following Deaths Of Three Young Americans,2017-11-07
241,CRIME,Another Mass Shooting And More Prayers. America Has Officially Given Up.,2017-11-06
242,CRIME,Air Force Failed To Enter Church Shooter's Domestic Violence Record In U.S. Database,2017-11-06
243,CRIME,At Least 26 Dead In Shooting At Texas Baptist Church,2017-11-05
244,CRIME,Florida Woman Arrested For Allegedly Riding A Horse While Drunk,2017-11-04
245,CRIME,Police Catch 'Nonchalant' Gunman Who Killed 3 At Colorado Walmart,2017-11-02
246,CRIME,Muslim Advocacy Groups Urge Compassion And Unity Following New York City Attack,2017-11-01
247,CRIME,"Alex Wubbels, Utah Nurse Arrested For Doing Her Job, Reaches $500,000 Settlement",2017-11-01
248,CRIME,Nurse Barred From Jail After Allegedly Performing Exorcism On Inmate,2017-11-01
249,CRIME,2 New York Detectives Charged In Alleged Rape Of 18-Year-Old,2017-10-31
250,CRIME,Photos From The Scene Of The Deadly Truck Attack In New York City,2017-10-31
251,CRIME,Meth Found In Child's Halloween Candy Prompts Warning From Wisconsin Police,2017-10-31
252,CRIME,Florida Police Release Eerie New Surveillance Video In Hunt For Suspected Serial Killer,2017-10-28
253,CRIME,Pastor Accused Of Impersonating Cop And Assaulting Teens,2017-10-26
254,CRIME,Billionaire Pharmaceutical Company Founder Charged In Opioid Bribery Case,2017-10-26
255,CRIME,"Newtown Shooter May Have Had Interest In Pedophilia, FBI Reveals",2017-10-25
256,CRIME,"Florida Woman Crashes Wedding, And It Doesn't End Well",2017-10-25
257,CRIME,Dad Arrested In Death of 3-Year-Old Now Says She Choked On Milk,2017-10-24
258,CRIME,Dad Charged After Cops Find Body Near Where Toddler Was Left Outside For Not Drinking Milk,2017-10-24
259,CRIME,Study Ties California Gun Violence Increases To Nevada Gun Shows,2017-10-24
260,CRIME,Body Found May Be Of Missing 3-Year-Old Left Outside By Dad: Police,2017-10-23
261,CRIME,10-Year-Old Killed By Teen's Crossbow Shot After 'Disagreement': Sheriff,2017-10-23
262,CRIME,Police Say 3 Deaths Could Be Work Of Serial Killer 'Terrorizing' Tampa,2017-10-23
263,CRIME,"Joe Arpaio Is Still Guilty Despite Presidential Pardon, Judge Says",2017-10-20
264,CRIME,"Albuquerque Police Officers Killed Our Son, And We Want To See Change",2017-10-20
265,CRIME,Cops Explain How To Pull Off A Good Halloween Prank Without Getting Arrested,2017-10-20
266,CRIME,Florida Man Pleads Guilty To Hate Crime For Phoned In Mosque Threat,2017-10-20
267,CRIME,Alabama Executes Torrey McNabb,2017-10-20
268,CRIME,Chelsea Bomber Ahmad Rahimi Found Guilty,2017-10-16
269,CRIME,"Tina Frost, Las Vegas Shooting Victim, Wakes From Coma",2017-10-14
270,CRIME,Police Change Timeline Of Las Vegas Mass Shooting Again,2017-10-14
271,CRIME,"After Lawsuit, City Agrees To Stop Forcing Women To Pay Fee For Not Pressing Charges Against Abusers",2017-10-12
272,CRIME,Man’s Attempt At Using Google To Rob A Bank Backfires Spectacularly,2017-10-11
273,CRIME,MGM 'Confident' That Police Are Wrong About Las Vegas Shooting Timeline,2017-10-11
274,CRIME,Utah Cop Who Violently Arrested Nurse Is Fired,2017-10-11
275,CRIME,New Timeline In Vegas Shooting Raises Questions On Police Response,2017-10-10
276,CRIME,"Manhattan DA Swept Harvey Weinstein Sexual Harassment Under The Rug, Report Alleges",2017-10-10
277,CRIME,Child Sex Offender Awarded Joint Custody Of Victim’s Kid: Attorney,2017-10-09
278,CRIME,3-Year-Old Missing After Left Outside For Not Drinking Milk: Cops,2017-10-09
279,CRIME,"More Than 100 Dogs Rescued From Cramped, Filthy Cages In Puppy Mill Bust",2017-10-07
280,CRIME,Las Vegas Shooter Had 50 Pounds Of An Explosive Substance In His Car,2017-10-05
281,CRIME,Unarmed Hotel Security Guard Who Found Las Vegas Shooter Hailed As Hero [UPDATE],2017-10-05
282,CRIME,Police Investigate Reports Of Las Vegas Gunman Booking Hotels Near Other Concerts,2017-10-05
283,CRIME,"Marilou Danley, Las Vegas Shooter's Girlfriend: 'He Never Said Anything To Me'",2017-10-04
284,CRIME,Stephen Paddock Had Deadly But Legal Gun Device That 'Simulates Automatic Fire',2017-10-04
285,CRIME,What We Know And Don't Know About Stephen Paddock And The Las Vegas Massacre,2017-10-04
286,CRIME,Charlottesville Rally Organizer Jason Kessler Indicted On Perjury Charge,2017-10-04
287,CRIME,The American Way To Grieve,2017-10-03
288,CRIME,We Can't Escape The Reality Of Las Vegas Any Longer,2017-10-03
289,CRIME,Las Vegas Gunman Had 'Cache Of Weapons',2017-10-02
290,CRIME,"Here's What We Know About Stephen Paddock, The Las Vegas Shooting Suspect",2017-10-02
291,CRIME,Eyewitnesses Recount Gunfire At Las Vegas Shooting: 'The Shots Just Kept Going',2017-10-02
292,CRIME,O.J. Simpson Released From Nevada Prison,2017-10-01
293,CRIME,Snapchat Videos Show Couple Shooting Up Houston Neighborhoods,2017-09-29
294,CRIME,High School Football Team Forfeits Entire Season Amid OxyContin Scandal,2017-09-29
295,CRIME,"'Hatchet Man' Suspect Could Have Ties To Murder Of Teen Hikers, Police Say",2017-09-28
296,CRIME,Police Arrest Suspect in Decades-Old Killer Clown Case,2017-09-27
297,CRIME,Navy Hospital Staffers Removed After Sharing Disturbing Photos Of Newborns,2017-09-20
298,CRIME,Man Shot Dead By Oklahoma City Cop Was Deaf (UPDATED),2017-09-20
299,CRIME,Neighbor Opens Fire As Father In Clown Mask Chases Child,2017-09-19
300,CRIME,St. Louis Riot Police Break Up Protest Over Acquittal Of Former Cop,2017-09-18
301,CRIME,"A College Security Officer Said He was Shot By A ""Black Man In A Hoodie."" Turns Out He Shot Himself",2017-09-15
